,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Iran,Iran,GPE,-0.12604197,0.39778600,en,8.80000000,4027653-3,130758,A,32.00000000,53.00000000,ASIA,Iran,WCA
America,America,GPE,0.10810185,0.33425926,en,7.20000000,,0,,,,,,
Israel,Israel,GPE,0.06843017,0.56991827,en,6.70000000,4027808-6,294640,A,31.50000000,34.75000000,EUROPE-AFRICA,Israel,MED
the United States,the United States,GPE,0.13625372,0.41282242,en,6.40000000,,0,,,,,,
US,US,GPE,0.04310826,0.53641183,en,6.40000000,,0,,,,,,
Toronto,Toronto,GPE,0.18063616,0.55385045,en,6.40000000,4060459-7,6167865,P,43.70643000,-79.39864000,NORTH-AMERICA,Canada,ENA
Algeria,Algeria,GPE,-0.00616162,0.18252525,en,5.50000000,4001179-3,2589581,A,28.00000000,3.00000000,AFRICA,Algeria,SAH
Canada,Canada,GPE,0.04784927,0.74078119,en,5.50000000,4029456-0,6251999,A,60.10867000,-113.64258000,NORTH-AMERICA,Canada,NWN
Iraq,Iraq,GPE,-0.37215909,0.50710227,en,4.40000000,4072920-5,99237,A,33.00000000,44.00000000,ASIA,Iraq,WCA
Gaza,Gaza,GPE,0.16011466,0.41922604,en,3.70000000,4092680-1,281133,P,31.50161000,34.46672000,EUROPE-AFRICA,Palestinian Territory,MED
Australia,Australia,GPE,0.22072072,0.36936937,en,3.70000000,4003900-6,2077456,A,-25.00000000,135.00000000,OCEANIA,Australia,CAU
New York,New York,GPE,0.13257576,0.51586814,en,3.70000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
Syria,Syria,GPE,-0.23524306,0.52141204,en,3.60000000,4058794-0,163843,A,35.00000000,38.00000000,EUROPE-AFRICA,Syria,MED
Poland,Poland,GPE,-0.21428571,0.85416667,en,2.80000000,4046496-9,798544,A,52.00000000,20.00000000,EUROPE,Poland,WCE
China,China,GPE,0.30952381,0.61309524,en,2.80000000,4009937-4,1814991,A,35.00000000,105.00000000,ASIA,China,EAS
Washington,Washington,GPE,0.04553571,0.29464286,en,2.80000000,4064682-8,4140963,P,38.89511000,-77.03637000,NORTH-AMERICA,United States,ENA
United States,United States,GPE,0.16088435,0.43605442,en,2.80000000,,0,,,,,,
Sudan,Sudan,GPE,0.00000000,0.00000000,en,2.80000000,4058378-8,366755,A,16.00000000,30.00000000,AFRICA,Sudan,SAH
Morocco,Morocco,GPE,-0.04464286,0.13392857,en,2.80000000,4037680-1,2542007,A,28.50000000,-10.00000000,AFRICA,Morocco,SAH
Florida,Florida,GPE,-0.41118421,0.95723684,en,1.90000000,4017585-6,12217087,L,26.50000000,-81.00000000,NORTH-AMERICA,United States,ENA
USA,USA,GPE,0.00000000,0.00000000,en,1.90000000,4078704-7,6252001,X,39.75999900,-98.50000000,NORTH-AMERICA,United States,CNA
Ontario,Ontario,GPE,0.01610276,0.64755639,en,1.90000000,4060459-7,6167865,P,43.70643000,-79.39864000,NORTH-AMERICA,Canada,ENA
Qatar,Qatar,GPE,0.00000000,0.26315789,en,1.90000000,4029924-7,289688,A,25.50000000,51.25000000,ASIA,Qatar,ARP
Peru,Peru,GPE,0.00000000,0.00000000,en,1.90000000,4045312-1,3932488,A,-10.00000000,-75.25000000,SOUTH-AMERICA,Peru,NWS
Madagascar,Madagascar,GPE,0.10526316,0.35526316,en,1.90000000,4074425-5,1062947,A,-20.00000000,47.00000000,AFRICA,Madagascar,MDG
France,France,GPE,0.10526316,0.26315789,en,1.90000000,4018145-5,3017382,A,46.00000000,2.00000000,EUROPE,France,WCE
Doha,Doha,GPE,-0.04276316,0.18092105,en,1.90000000,4219005-8,290030,P,25.28545000,51.53096000,ASIA,Qatar,ARP
Germany,Germany,GPE,0.31578947,0.53947368,en,1.90000000,4011882-4,2921044,A,51.50000000,10.50000000,EUROPE,Germany,WCE
Tehran,Tehran,GPE,0.03421053,0.17105263,en,1.90000000,4059304-6,112931,P,35.69439000,51.42151000,ASIA,Iran,WCA
Japan,Japan,GPE,0.12456140,0.62105263,en,1.90000000,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
Emirates,Emirates,GPE,-0.08217593,0.56134259,en,1.80000000,4062742-1,290557,A,23.75000000,54.50000000,ASIA,United Arab Emirates,ARP
Saudi Arabia,Saudi Arabia,GPE,-0.08217593,0.56134259,en,1.80000000,4051788-3,102358,A,25.00000000,45.00000000,ASIA,Saudi Arabia,ARP
Ukraine,Ukraine,GPE,-0.55555556,0.57291667,en,1.80000000,4061496-7,690791,A,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Sydney,Sydney,GPE,0.41025641,1.15384615,en,1.30000000,4058708-3,2147714,P,-33.86785000,151.20732000,OCEANIA,Australia,EAU
New York City,New York City,GPE,0.17878788,0.36818182,en,1.00000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
McLean,McLean,GPE,0.06166667,0.69000000,en,1.00000000,4412878-2,4885164,P,40.48420000,-88.99369000,NORTH-AMERICA,United States,ENA
Tel Aviv,Tel Aviv,GPE,-1.00000000,1.00000000,en,1.00000000,4119545-0,293397,P,32.08088000,34.78057000,EUROPE-AFRICA,Israel,MED
Victoria,Victoria,GPE,0.00000000,0.00000000,en,1.00000000,,241131,P,-4.62001000,55.45501000,INDIAN,Seychelles,EIO
the East Coast,the East Coast,LOC,0.00000000,0.00000000,en,1.00000000,,12212303,L,37.02332000,-77.36954000,NORTH-AMERICA,United States,ENA
The Tigris River,The Tigris River,LOC,-0.36250000,0.63750000,en,1.00000000,,98846,P,32.55621000,45.41293000,ASIA,Iraq,WCA
Turkey,Turkey,GPE,-0.36250000,0.63750000,en,1.00000000,4061163-2,298795,A,39.00000000,35.00000000,EUROPE-AFRICA,Turkey,MED
Europe,Europe,LOC,0.03750000,1.00000000,en,1.00000000,,0,L,50.28762000,15.19030000,,,
the Vistula River,the Vistula River,LOC,-0.36250000,1.00000000,en,1.00000000,,3081860,H,54.35069000,18.94602000,EUROPE,Poland,WCE
the Baltic Sea,the Baltic Sea,LOC,-0.36250000,1.00000000,en,1.00000000,,5226143,P,43.76136000,-96.74033000,NORTH-AMERICA,United States,CNA
Ksar El-Kebir,Ksar El-Kebir,GPE,-0.16250000,0.43750000,en,1.00000000,,2544001,P,35.00044000,-5.90378000,EUROPE-AFRICA,Morocco,MED
Virginia Beach,Virginia Beach,GPE,0.00000000,0.00000000,en,1.00000000,4127130-0,4791259,P,36.85293000,-75.97799000,NORTH-AMERICA,United States,ENA
Indiana,Indiana,GPE,0.00000000,0.00000000,en,1.00000000,4109219-3,12213684,L,38.30308000,-85.68222000,NORTH-AMERICA,United States,ENA
Atlantic,Atlantic,LOC,0.04785714,0.58571429,en,1.00000000,,12110846,L,40.58629000,-76.28807000,NORTH-AMERICA,United States,ENA
the Tigris River,the Tigris River,LOC,0.00000000,0.00000000,en,1.00000000,,98846,P,32.55621000,45.41293000,ASIA,Iraq,WCA
Michigan,Michigan,GPE,0.00000000,0.00000000,en,1.00000000,4115139-2,5001836,A,44.25029000,-85.50033000,NORTH-AMERICA,United States,ENA
Mass,Mass,GPE,0.00000000,0.00000000,en,1.00000000,,12216903,L,41.89793000,-70.85339000,NORTH-AMERICA,United States,ENA
Euphrates,Euphrates,LOC,-0.31250000,0.53125000,en,1.00000000,4258936-8,241347,T,-9.42717000,46.24974000,AFRICA,Seychelles,SEAF
Arctic,Arctic,LOC,-1.00000000,1.00000000,en,1.00000000,,0,H,85.00000000,0.00000000,,,
the African Union,the African Union,GPE,0.00000000,0.00000000,en,1.00000000,,4137464,L,38.91650000,-77.02581000,NORTH-AMERICA,United States,ENA
